Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,0.714980,0.721090,0.714080,0.714800,0.714800,0
2021-03-15,0.717830,0.721800,0.716900,0.717900,0.717900,0
2021-03-16,0.719410,0.724040,0.719360,0.719470,0.719470,0
2021-03-17,0.719280,0.721040,0.718030,0.719310,0.719310,0
2021-03-18,0.715660,0.719510,0.714260,0.715520,0.715520,0
2021-03-19,0.718230,0.722920,0.716510,0.718130,0.718130,0
2021-03-22,0.722810,0.723650,0.720710,0.722930,0.722930,0
2021-03-23,0.721490,0.726960,0.721340,0.721370,0.721370,0
2021-03-24,0.728000,0.731270,0.727670,0.728310,0.728310,0
2021-03-25,0.730450,0.731490,0.727850,0.730520,0.730520,0
2021-03-26,0.727390,0.727620,0.724120,0.727320,0.727320,0
2021-03-29,0.725200,0.726890,0.722200,0.725110,0.725110,0
2021-03-30,0.725970,0.729490,0.725500,0.725950,0.725950,0
2021-03-31,0.727400,0.728960,0.724100,0.727450,0.727450,0
2021-04-01,0.725230,0.727310,0.722700,0.725360,0.725360,0
2021-04-02,0.722800,0.723880,0.721800,0.722800,0.722800,0
2021-04-05,0.723080,0.723890,0.718710,0.723000,0.723000,0
2021-04-06,0.718740,0.723620,0.718400,0.718700,0.718700,0
2021-04-07,0.723030,0.728320,0.722560,0.723000,0.723000,0
2021-04-08,0.727790,0.728840,0.725500,0.727600,0.727600,0
2021-04-09,0.728000,0.731430,0.727100,0.728100,0.728100,0
2021-04-12,0.729470,0.731500,0.725840,0.729280,0.729280,0
2021-04-13,0.727050,0.729780,0.726269,0.727070,0.727070,0
2021-04-14,0.726600,0.727240,0.724170,0.726760,0.726760,0
2021-04-15,0.725800,0.726600,0.724170,0.725730,0.725730,0
2021-04-16,0.725440,0.728920,0.723190,0.725400,0.725400,0
2021-04-19,0.723620,0.724090,0.714700,0.723670,0.723670,0
2021-04-20,0.714690,0.717570,0.713800,0.714600,0.714600,0
2021-04-21,0.717500,0.720100,0.716900,0.717420,0.717420,0
2021-04-22,0.717731,0.723140,0.716800,0.717780,0.717780,0
2021-04-23,0.722330,0.722690,0.719600,0.722530,0.722530,0
2021-04-26,0.721130,0.721150,0.717910,0.721170,0.721170,0
2021-04-27,0.719700,0.721530,0.718210,0.719650,0.719650,0
2021-04-28,0.719269,0.721370,0.718290,0.719240,0.719240,0
2021-04-29,0.716500,0.717720,0.715520,0.716500,0.716500,0
2021-04-30,0.716820,0.724100,0.716400,0.716700,0.716700,0
2021-05-03,0.723630,0.724350,0.717820,0.723600,0.723600,0
2021-05-04,0.719220,0.722510,0.719100,0.719230,0.719230,0
2021-05-05,0.720010,0.720570,0.718060,0.720040,0.720040,0
2021-05-06,0.718780,0.721160,0.717450,0.718920,0.718920,0
2021-05-07,0.719610,0.719840,0.714250,0.719500,0.719500,0
2021-05-10,0.712378,0.713480,0.706330,0.712190,0.712190,0
2021-05-11,0.707600,0.708890,0.706320,0.707650,0.707650,0
2021-05-12,0.707350,0.710310,0.706700,0.707300,0.707300,0
2021-05-13,0.711220,0.713880,0.710260,0.711050,0.711050,0
2021-05-14,0.711900,0.712400,0.708700,0.711700,0.711700,0
2021-05-17,0.709220,0.710300,0.707800,0.709130,0.709130,0
2021-05-18,0.706790,0.706870,0.703210,0.706780,0.706780,0
2021-05-19,0.704720,0.707510,0.704126,0.704820,0.704820,0
2021-05-20,0.708820,0.709060,0.705150,0.708910,0.708910,0
2021-05-21,0.704880,0.706500,0.702570,0.704940,0.704940,0
2021-05-24,0.707200,0.708290,0.705650,0.707070,0.707070,0
2021-05-25,0.706370,0.708330,0.703710,0.706410,0.706410,0
2021-05-26,0.707050,0.708250,0.705400,0.707020,0.707020,0
2021-05-27,0.708560,0.709610,0.704480,0.708410,0.708410,0
2021-05-28,0.704050,0.707360,0.703900,0.704040,0.704040,0
2021-05-31,0.705100,0.705920,0.703390,0.705200,0.705200,0
2021-06-01,0.702860,0.706430,0.701890,0.702900,0.702900,0
2021-06-02,0.706380,0.708460,0.705000,0.706360,0.706360,0
2021-06-03,0.705610,0.709570,0.704130,0.705620,0.705620,0
2021-06-04,0.708700,0.709925,0.704200,0.708720,0.708720,0
2021-06-07,0.706120,0.708600,0.705020,0.706000,0.706000,0
2021-06-08,0.705393,0.708030,0.704900,0.705390,0.705390,0
2021-06-09,0.706800,0.708430,0.704800,0.706720,0.706720,0
2021-06-10,0.708660,0.710450,0.705690,0.708600,0.708600,0
2021-06-11,0.705660,0.708900,0.704900,0.705710,0.705710,0
2021-06-14,0.708200,0.710650,0.708000,0.708250,0.708250,0
2021-06-15,0.708700,0.712410,0.707790,0.708720,0.708720,0
2021-06-16,0.710070,0.710380,0.707600,0.710150,0.710150,0
2021-06-17,0.715130,0.718800,0.713800,0.714760,0.714760,0
2021-06-18,0.717410,0.724790,0.717100,0.717430,0.717430,0
2021-06-21,0.723770,0.725310,0.718400,0.723740,0.723740,0
2021-06-22,0.718230,0.721330,0.717850,0.718112,0.718112,0
2021-06-23,0.716910,0.718140,0.714200,0.716850,0.716850,0
2021-06-24,0.715910,0.719860,0.714970,0.715950,0.715950,0
2021-06-25,0.718500,0.719830,0.717500,0.718550,0.718550,0
2021-06-28,0.719580,0.720630,0.717400,0.719680,0.719680,0
2021-06-29,0.720500,0.723800,0.720400,0.720510,0.720510,0
2021-06-30,0.722450,0.724360,0.720900,0.722400,0.722400,0
2021-07-01,0.723190,0.726540,0.722900,0.723110,0.723110,0
2021-07-02,0.726760,0.727870,0.724760,0.726770,0.726770,0
2021-07-05,0.723100,0.723630,0.721300,0.723000,0.723000,0
2021-07-06,0.721850,0.725170,0.719500,0.721700,0.721700,0
2021-07-07,0.724590,0.726880,0.722517,0.724340,0.724340,0
2021-07-08,0.724660,0.727670,0.724490,0.724580,0.724580,0
2021-07-09,0.725000,0.726720,0.720600,0.725120,0.725120,0
2021-07-12,0.719500,0.722520,0.718900,0.719450,0.719450,0
2021-07-13,0.719960,0.724550,0.719100,0.720100,0.720100,0
2021-07-14,0.724410,0.724510,0.719890,0.724320,0.724320,0
2021-07-15,0.721650,0.723900,0.719550,0.721600,0.721600,0
2021-07-16,0.723080,0.725990,0.721400,0.723080,0.723080,0
2021-07-19,0.726630,0.731760,0.726590,0.726540,0.726540,0
2021-07-20,0.731600,0.736720,0.730530,0.731530,0.731530,0
2021-07-21,0.733430,0.735730,0.730200,0.733500,0.733500,0
2021-07-22,0.729256,0.730300,0.725290,0.729180,0.729180,0
2021-07-23,0.726000,0.728800,0.725640,0.726011,0.726011,0
2021-07-26,0.726890,0.727910,0.722910,0.726860,0.726860,0
2021-07-27,0.723300,0.726320,0.719800,0.723110,0.723110,0
2021-07-28,0.720110,0.722210,0.719600,0.720320,0.720320,0
2021-07-29,0.719000,0.719430,0.715200,0.719070,0.719070,0
2021-07-30,0.716110,0.719570,0.715100,0.716110,0.716110,0
2021-08-02,0.719600,0.720200,0.717700,0.719620,0.719620,0
2021-08-03,0.719890,0.720150,0.717360,0.719800,0.719800,0
2021-08-04,0.718600,0.719350,0.716490,0.718500,0.718500,0
2021-08-05,0.719930,0.720670,0.716970,0.719920,0.719920,0
2021-08-06,0.717990,0.721370,0.717710,0.718000,0.718000,0
2021-08-09,0.721100,0.722200,0.719760,0.721060,0.721060,0
2021-08-10,0.722100,0.722870,0.720950,0.722070,0.722070,0
2021-08-11,0.722700,0.724360,0.720870,0.722750,0.722750,0
2021-08-12,0.721060,0.723400,0.720560,0.721140,0.721140,0
2021-08-13,0.724030,0.725000,0.721390,0.724030,0.724030,0
2021-08-16,0.721170,0.723080,0.720760,0.721300,0.721300,0
2021-08-17,0.722400,0.727980,0.722400,0.722400,0.722400,0
2021-08-18,0.727800,0.728120,0.726200,0.727780,0.727780,0
2021-08-19,0.727570,0.732380,0.727290,0.727600,0.727600,0
2021-08-20,0.733580,0.735100,0.733000,0.733630,0.733630,0
2021-08-23,0.733760,0.733760,0.728860,0.733930,0.733930,0
2021-08-24,0.728620,0.730150,0.727400,0.728610,0.728610,0
2021-08-25,0.728450,0.729970,0.727650,0.728570,0.728570,0
2021-08-26,0.726500,0.729360,0.726240,0.726400,0.726400,0
2021-08-27,0.730140,0.730940,0.725640,0.729800,0.729800,0
2021-08-30,0.726470,0.728000,0.725860,0.726586,0.726586,0
2021-08-31,0.726710,0.727580,0.724410,0.726720,0.726720,0
2021-09-01,0.727077,0.728240,0.724730,0.727093,0.727093,0
2021-09-02,0.726000,0.726310,0.722760,0.726130,0.726130,0
2021-09-03,0.722650,0.723600,0.720740,0.722710,0.722710,0
